"username","created_at","comment_text"
"pragxoxo","2018-11-22 19:22:09","There are quite a few art therapists in Singapore if anyone is interested in that :)"
"sandylyj","2018-11-22 20:01:14","I did a survey regarding why those struggling with their mental health aren’t seeking professional help and concluded two expected answers that Singaporeans will give. 
1) stigmatism, even though government hospitals are fairly affordable after it’s been subsidized, many people fear that no companies will hire them bc of the diagnosis shown in their medical report.

2) financial difficulties, private clinics will ensure confidentiality unlike gov hospitals but the con is the hefty price tag, some private clinics charge based on duration, not per hour but per minute. 
When both social stigmatism and financial issue combined, most Singaporeans will simply drop the idea of therapy. I personally chose to be treated from gov hospitals mainly because of their credibility, I believe that a good company will not be quick to judge and focus on individual’s skills and capabilities instead. Quick tip for Singaporeans that’ll consider gov hospitals, visit any Polyclinic and ask for a referral to the hospital you prefer(some hospitals offers specialized disorders), a referral letter from Polyclinic will get you an earlier appointment slot in the hospital."
"a1exa100","2018-11-22 21:17:26","I went to SACAC counseling and my therapist was named Mahima Gupta and she helped me a lot after going through the hardest time of my life. Unfortunately I wasn't able to continue therapy with her because I moved and the cost was a lot, but if you can afford SACAC counseling, they have some of the best therapists."
"corruptedalien_workbook","2018-11-22 22:47:32","Can we please do this for Bangladesh? Please?"
"fernfacts","2018-11-22 23:45:22","Janet from Mindcare Clinic! I’ve only seen her for three sessions thus far but I feel a huge difference already. She’s the first therapist that made me feel completely at ease. Sessions are twice the price of government hospitals, but I’ve been telling myself this: my mental health is an investment for my future. Take care, everyone 💙 your artidote family is here with you!"
"eaxeposed","2018-11-23 00:08:20","@frezzelpretzel @getthevillain"
"chittira","2018-11-23 00:36:27","Can you please recommend someone in Delhi, India?"
"nabae0908","2018-11-23 00:38:02","@xavvvierrrlynnn !!!"
"theartidote","2018-11-23 01:23:31","@chittira good news: the Delhi post is already up :) click this hashtag to locate it #ArtidoteLifelines"
"stella_murphy","2018-11-23 01:36:09","✨k@ll"
"xavvvierrrlynnn","2018-11-23 02:01:54","@nabae0908 ooo!!"
"okokjn","2018-11-23 04:52:22","i doNT TRUST ANY SO IM GLAD THIS IS A THING"
"ally.lifestyl.e","2018-11-23 06:12:55","Alliance Counseling or if ur on a budget go to IMH for subsidies"
"sreyaiouslysings","2018-11-23 07:58:35","SMU peeps can go to Connie Wong at the Mrs Wong Leong Kwok Wellness Centre, she's great and give plenty of really practical tips 🔥"
"carmenchanz","2018-11-23 08:02:55","Kuala Lumpur too please!"
"supernivi","2018-11-23 08:02:56","@rhcounsellingsingapore"
"ally.lifestyl.e","2018-11-23 08:47:46","@pragxoxo where!"
"pragxoxo","2018-11-23 09:19:25","@ally.lifestyl.e there’s a list of registered art therapists on the Art Therapy Association Singapore website :)"
"cherylleehh_","2018-11-23 11:54:20","@ques.era I second this!! She wasn't my main psychologist but I've had group sessions and encounters with her and she really is the loveliest person! My friends who are/were under her care all have positive feedback about her too! (:"
"sens8tes","2018-11-23 11:57:28","can you make a post for paris?? 💓"
"cherylleehh_","2018-11-23 12:00:26","Dr Lee Ee Lian (psychiatrist) from BetterLife is great for eating disorders among other mood disorders. (65) 6250 8077
clinic@better-life.sg
 10 Sinaran Drive, #08 – 17/30
Novena Medical Centre
Singapore 307506"
"ferandaaa","2018-11-23 12:38:31","Dr Gan, psychologist from Child Guidance Clinic at NUH! I went when I was younger and he is amazing. Not only was he patient (I spent a good six months and six sessions not saying anything substantial), even when I grew too old for the clinic (they cater to children and so at 18 there was pressure to leave) he made sure to tell me I could continue seeing him, regardless. For children, fees are subsidised to $40 per session, you can book as and when you like (my doctor talked with me about what I felt comfortable with) and since it's under the govt there are more subsidies for those who need them. All in all it was a relief to be heard by him, and received warmly by a place that always cared"
"theartidote","2018-11-23 14:42:42","Anonymous submission: “Aarti Mundae was my counselor for over a year. She helped me battle depression. She was extremely open minded, responsive understanding and supportive. I felt very comfortable opening up to her. She’s given me excellent advice and encouragement. I’m extremely grateful to her for helping me through my darkest phase. I’d highly recommend her to anyone who needs counseling, especially teenagers.”"
"theartidote","2018-11-23 14:43:15","Her details: 
Aarti Mundae, 
INCONTACT Counselling and training 
Phone number: +65 98524654
Email: aarti@incontact.com.sg"
"theartidote","2018-11-23 19:25:12","Anonymous recommendation: “I would recommend Eugene Tay at PsycHealth if anyone is interested in cognitive behavioural therapy or mindfulness based therapy. He is highly professional and extremely approachable. Not once has he ever made me feel judged, which was not the experience I had with other Therapists/psychiatrists. Although I’ve overcome my depression now, I make it a point to still see him because he never fails to help me gain a better perspective with whatever is happening in my life. Couldn’t recommend him more :)” http://www.psychealth.sg"
"frezzelpretzel","2018-11-24 02:52:05","@kisnaaz"
"sarahjinsalazar","2018-11-24 09:44:07","❤️❤️❤️❤️❤️❤️❤️❤️❤️"
"lohwanping","2018-11-24 12:45:19","@h_eatherfeather  reccs pls"
"abstrktmgic","2018-11-24 15:13:29","@a1exa100 I second this. SACAC services and therapists are really good. If you’re lucky, your workplace may also have them under their employee assistance program."
